source;source_uniprotAC;source_speciesID;source_species;source_topology;source_pathways;layer;target;target_uniprotAC;target_speciesID;target_species;target_topology;target_pathways;layer;interaction_type;directness;effect;references;data_source;confidence_score;score_from_the_source
WNT3A;P56704;ENSG00000154342;H. sapiens;Ligand ,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;RYK;P34925;ENSG00000163785;H. sapiens;Receptor;RTK(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;15454084|15454084|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.797309;
SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;ESR1;P03372;ENSG00000091831;H. sapiens;Receptor,Transcription factor;NHR(core),TGF(non-core);Interaction between pathway members;PPI directed;direct;stimulation;11555647|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.766544, GO Semantic Similarity: 0.766544;
ESR1;P03372;ENSG00000091831;H. sapiens;Receptor,Transcription factor;NHR(core),TGF(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;unknown;11555647|20207742|11555647|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.766544, GO Semantic Similarity: 0.766544;
SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;14638857|14638857|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.987919, GO Semantic Similarity: 0.987919;
NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;unknown;14638857|14638857|14638857|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.987919, GO Semantic Similarity: 0.987919;
PSEN1;P49768;ENSG00000080815;H. sapiens;Co-factor,Endocytosis related ,Scaffold;Notch(core);Interaction between pathway members;MDS033;Q9NZ42;ENSG00000205155;H. sapiens;Co-factor,Scaffold;Notch(core);Interaction between pathway members;PPI directed;indirect;unknown;12522139|14572442|12198112|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.80861, GO Semantic Similarity: 0.80861;
MDS033;Q9NZ42;ENSG00000205155;H. sapiens;Co-factor,Scaffold;Notch(core);Interaction between pathway members;PSEN1;P49768;ENSG00000080815;H. sapiens;Co-factor,Endocytosis related ,Scaffold;Notch(core);Interaction between pathway members;PPI directed;indirect;inhibition;15035625|14572442|12639958|12198112|12639958|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.80861, GO Semantic Similarity: 0.80861;
MAPK1;P28482;ENSG00000100030;H. sapiens;Mediator;RTK(core),TGF(core);Interaction between pathway members;RPS6KA1;Q15418;ENSG00000117676;H. sapiens;Mediator,Scaffold;RTK(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;7601337|12832467|9915826|12594221|9915826|12832467|9430688|12618428|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.727847, GO Semantic Similarity: 0.727847;
MAPK3;P27361;ENSG00000102882;H. sapiens;Mediator;RTK(core),JAK/STAT(core),TGF(core);Interaction between pathway members;RPS6KA1;Q15418;ENSG00000117676;H. sapiens;Mediator,Scaffold;RTK(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;8387505|12832467|12832467|9915826|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.727847;
NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;RBPJ;Q06330;ENSG00000168214;H. sapiens;Transcription factor;Notch(core);Interaction between pathway members;PPI directed;direct;stimulation;9032325|9111040|19800882|8749394|9111040|10637481|16530044|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.885565, GO Semantic Similarity: 0.885565;
